animal,loc,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,group
B9,6,29,13213.0,12828.0,0.8775017841156346,15,0.16584578340235082,0.08201795090794657,0.1500254440046075,0.05000848133486916,0.41232637250451093,0.0,,,,,,,,ET
B9,6,30,13213.0,12828.0,0.8890595899230022,14,0.09378350056171043,0.048998049146525,0.1500254440046075,0.042864412572744995,0.6655092328142983,0.0,,,,,,,,ET
B9,6,31,13213.0,12828.0,1.2003595155169042,14,0.16584578340235082,0.09193542840189849,0.1500254440046075,0.042864412572744995,0.49189812860187265,0.0,,,,,,,,ET
C2,5,0,1090.0,922.0,0.8512372532825481,4,0.018323658118231965,0.011717230730478551,2.699421225306071,2.0621992203169524,0.7306133968939579,0.0,,,,,,,,ET
C2,5,1,6381.0,6213.0,1.0877358355049127,3,0.017325071384309394,0.010962718272170551,2.54945439901754,1.6997965049129256,0.839120337026724,0.021701388026553206,0.40796160000000015,0.24977408000000167,4.0,3.3333333333333335,0.005420444229055379,0.08620689655172414,0.4622560194352461,ET
C2,5,2,7080.0,6912.0,1.073023560281513,10,0.03015831312946787,0.014196733413574286,2.549935115721236,0.26999019420097675,1.2297453215046816,0.007233796008851069,0.09912319999999397,0.09912319999999397,4.0,4.0,0.0007170370085445027,0.023529411764705882,,ET
C2,5,3,7080.0,6912.0,1.1188155098823098,4,0.07245188782722935,0.025969626527906287,0.0,0.0,0.3761573924602556,0.0,,,,,,,,ET
C2,5,4,7080.0,6912.0,0.9064675415693416,3,0.06583663451269027,0.034387031657951296,0.0,0.0,0.7595485809293622,0.014467592017702138,0.203898879999997,0.1300070400000024,3.0,3.0,0.0018808888141491173,0.05714285714285714,,ET
C2,5,5,7080.0,6912.0,0.7669540544101041,3,0.11980905670049995,0.04741681662077623,0.0,0.0,17.050057192861967,0.0,,,,,,,,ET
C2,5,6,1209.0,1041.0,1.1783935105573728,1,0.007092814478863229,0.007092814478863229,2.549935115721236,2.549935115721236,6.112557627479153,0.014467592017702138,0.02326527999998973,0.021626879999992354,3.0,3.0,0.0003128888764556914,0.007100591715976331,,ET
C2,5,7,982.0,814.0,1.269037674705825,5,0.01590635286879251,0.010970819658200175,2.849954430655667,1.260198917388991,0.49189812860187265,0.0,,,,,,,,ET
C2,5,8,1209.0,1041.0,1.0084788757649341,1,0.01590635286879251,0.01590635286879251,0.30001931493443046,0.30001931493443046,0.5570022926815323,0.021701388026553206,0.3444736000000006,0.2342365866666706,3.0,3.0,0.005083259057268778,0.11688311688311688,0.6730325987813461,ET
C2,5,9,1209.0,1041.0,1.0304230849013734,2,0.011777491059688259,0.01023499858952414,2.399968289432705,1.27472719950877,3.0020253436731936,0.05063657206195748,0.14221312000000808,0.050579748571430674,5.0,3.2857142857142856,0.0025611850834129403,0.05542168674698795,0.8521160668088569,ET
C2,5,10,7080.0,6912.0,0.9541938837658087,4,0.11980905670049995,0.039538733231217184,2.699421225306071,0.6748553063265178,6.532117795992515,0.028935184035404276,0.024002559999999562,0.016916479999997236,3.0,3.0,0.0004894814620311557,0.013289036544850499,0.5560958222608532,ET
C2,5,11,7080.0,6912.0,0.9085780953662297,7,0.06583663451269027,0.023676078149486406,2.849954430655667,0.7927679508516768,0.8318865410178728,0.014467592017702138,0.19210240000001022,0.1388543999999996,3.0,3.0,0.002008888809062814,0.05217391304347826,,ET
