animal,avg_ibi,avg_spikes_burst,bf,bfr,group,max_spikes_burst,max_sync_bf_dist,max_sync_coef,mean_sync_bf_dist,mean_sync_coef,p_bursting_spikes,p_bursting_time,sfr,sync_n
C4,,,13929.0,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.26692707272660443,1
C4,45.861478328704834,3.0,13929.0,0.019531249223897887,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,9.67741935483871,0.48869318559991576,0.6054687259408345,3
C4,16.568289279937744,3.111111111111111,13929.0,0.058593747671693654,ET,4.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,1.1555922410235244,0.06247994552135684,15.774738956501526,1
C4,13.608222723007202,3.142857142857143,12996.0,0.04557291485576173,ET,4.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,3.459119496855346,0.1586933246774147,4.140624835466352,3
C4,13.792751622200011,3.272727272727273,14929.0,0.07161458048762558,ET,5.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,2.254226675015654,0.11136040890771513,10.39713500352164,1
C4,8.28180992603302,3.0,14929.0,0.11067707893542135,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,2.378731343283582,0.11450688210102392,13.958332778679022,3
C4,5.833523273468018,3.0,13929.0,0.013020832815931924,ET,3.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,1.4563106796116505,0.08989326919542674,2.682291560081976,1
C4,13.906302293141684,3.0,13929.0,0.04557291485576173,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,5.785123966942149,0.2948799984701475,2.3632811560916442,3
C4,31.04653310775757,3.0,12996.0,0.019531249223897887,ET,3.0,1448.0,0.03810118704197516,1448.0,0.03810118704197516,3.79746835443038,0.09687989565213935,1.542968688687933,1
C4,75.68717813491821,3.0,13929.0,0.019531249223897887,ET,3.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,2.261306532663317,0.11114667038533409,2.5911457303704526,3
C4,,,,0.0,ET,,1448.0,0.03810118704197516,1448.0,0.03810118704197516,0.0,0.0,0.09114582971152346,1
C4,,4.0,13929.0,0.006510416407965962,ET,4.0,8542.0,0.0352338875696767,5374.333333333333,0.022725579462759642,40.0,3.276799830474463,0.06510416407965962,3
C5,,,9849.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.06510416407965962,0
C5,,,12126.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
C5,,,8574.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.04557291485576173,0
C5,,,9189.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.07161458048762558,0
C5,,3.0,9189.0,0.006510416407965962,ET,3.0,,0.0,,0.0,12.0,0.20282668186916183,0.16276041019914905,0
C5,,,9189.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.013020832815931924,0
C5,10.955016374588013,3.5,10556.0,0.07812499689559155,ET,6.0,,0.0,,0.0,3.184230477634572,0.17237336621191637,8.587239242107104,0
C5,28.351221799850464,3.2,9849.0,0.03255208203982981,ET,4.0,,0.0,,0.0,8.64864864864865,0.42722651899947645,1.204427035473703,0
C5,,,9849.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.23437499068677461,0
C5,,,9849.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.039062498447795774,0
C5,,,9849.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,10556.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,11314.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,9849.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,12126.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,12126.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
C5,,,12996.0,0.0,ET,,,0.0,,0.0,0.0,0.0,0.0,0
