ind,ch,bf,bf_deviation,isi_cv,sync_n,r_max,r,d_max,d,sfr,br,bdur_max,bdur,nspikes_burst_max,nspikes_burst,p_bursting_time,p_bursting_spike,ibi_cv,animal,group
3,11,18379,1674.208333,1.321830946,13,0.032503097,0.013596689,0,0,0.782122905,0,,,,3.8,,,,U2,ENT
3,12,18379,1674.208333,1.069019907,18,0.022539041,0.01089211,0.29994074,0.016663374,0.709497207,0,,,,3.8,,,,U2,ENT
3,13,18379,1674.208333,0.886902688,13,0.029728012,0.011829267,0.29994074,0.023072365,0.826815642,0.011173184,0.3078144,0.26273792,4,3.5,0.002935619,0.047297297,,U2,ENT
3,14,18379,1674.208333,1.00299322,11,0.029728012,0.00988919,0.29994074,0.02726734,0.737430168,0.011173184,0.16171008,0.15480832,3,3,0.001729702,0.045454545,,U2,ENT
3,17,17148,443.2083333,1.04231638,11,0.123626655,0.032769255,0.10001795,0.018185082,5.12849162,0.094972067,0.06713344,0.029922485,4,3.117647059,0.0028418,0.057734205,1.25372715,U2,ENT
3,18,14929,-1775.791667,1.051652308,11,0.132588223,0.037808744,0.29994074,0.05453468,5.832402235,0.072625698,0.03178496,0.019266954,4,3.076923077,0.001399276,0.038314176,0.801298534,U2,ENT
3,19,14929,-1775.791667,1.015706145,16,0.132588223,0.028353725,0.29994074,0.124972952,4.25698324,0.094972067,0.08945664,0.036237553,5,3.176470588,0.003441555,0.070866142,1.094429792,U2,ENT
3,20,14929,-1775.791667,1.058172596,14,0.078514995,0.032560301,0.29994074,0.099977554,1.452513966,0.027932961,0.12988416,0.088809472,3,3,0.002480712,0.057692308,0.668595744,U2,ENT
3,21,14929,-1775.791667,1.024439453,21,0.058217545,0.023283727,0.29994074,0.152349057,1.245810056,0.022346369,0.33796096,0.16623616,4,3.25,0.003714775,0.058295964,0.637452796,U2,ENT
3,22,14929,-1775.791667,0.987646213,22,0.078514995,0.02630291,0.29994074,0.15905777,1.206703911,0.011173184,0.15720448,0.14864384,4,3.5,0.001660825,0.032407407,,U2,ENT
3,24,14929,-1775.791667,1.014415915,17,0.034554894,0.013738853,0.29994074,0.135265175,1.111731844,0.011173184,0.13877248,0.11511808,3,3,0.001286236,0.030150754,,U2,ENT
3,25,14929,-1775.791667,0.933126796,18,0.043010382,0.020075239,0.29994074,0.127750443,1.212290503,0.027932961,0.26923008,0.157933568,4,3.2,0.004411552,0.073732719,0.571241829,U2,ENT
3,26,14929,-1775.791667,0.98194766,20,0.040175208,0.018294528,0.29994074,0.144969473,1.061452514,0.027932961,0.17137664,0.104644608,3,3,0.002923034,0.078947368,0.576477417,U2,ENT
3,27,14929,-1775.791667,1.027951818,17,0.029481424,0.014267474,0.29994074,0.158792157,1.011173184,0.022346369,0.15560704,0.08825856,3,3,0.001972258,0.066298343,0.220322445,U2,ENT
3,28,13929,-2775.791667,0.956294558,21,0.057386147,0.020930276,0.399966585,0.247611766,1.078212291,0,,,,3,,,,U2,ENT
4,1,16000,3855.608696,0.923256025,18,0.028235913,0.010240233,0,0,0.787709497,0.011173184,0.53317632,0.34070528,6,4.5,0.003806763,0.063829787,,U3,ENT
4,2,14929,2784.608696,1.098361239,18,0.033573869,0.010609443,0,0,0.905027933,0.011173184,0.39784448,0.237568,4,3.5,0.002654391,0.043209877,,U3,ENT
4,3,12126,-18.39130435,0.992186338,16,0.03513613,0.011748355,0.399968178,0.024998011,0.849162011,0.011173184,0.13811712,0.13142016,3,3,0.001468382,0.039473684,,U3,ENT
4,4,14929,2784.608696,1.065878005,18,0.021677639,0.008800293,0.099954373,0.005553021,0.815642458,0.011173184,0.12316672,0.11667456,3,3,0.001303626,0.04109589,,U3,ENT
4,5,13929,1784.608696,0.936041706,17,0.028455089,0.012754166,0.199987959,0.017647871,0.843575419,0.022346369,0.21516288,0.17931264,3,3,0.004006986,0.079470199,0.813806889,U3,ENT
4,7,12126,-18.39130435,0.860464418,16,0.023281658,0.012029762,0.300013804,0.050000973,0.709497207,0,,,,3,,,,U3,ENT
4,8,14929,2784.608696,1.033880777,16,0.03513613,0.014037413,0.300013804,0.031249626,0.787709497,0.033519553,0.44576768,0.23836672,4,3.333333333,0.007989946,0.141843972,1.218753063,U3,ENT
